fid,IFN_PLOT_ID,N,N_0_75,N_75_125,N_125_175,N_175_225,N_225_275,N_275_325,N_325_375,N_375_425,N_425_,dbh_min,dbh_max,dbh_mean,dg,G,g_min,g_max,g_mean,h_min,h_max,h_mean,Ho,Do,sp_1,sp_2,sp_3,G_sp_1,G_sp_2,G_sp_3,N_sp_1,N_sp_2,N_sp_3,G_alive,G_dead,N_alive,N_dead,slenderness,dominant_slenderness,SDI,S,S_staggered,INVENTORY_ID,Region_id,Region_name,Province_id,Province_name,N_plot,Class,Subclass,PLOT_ID,PLOT_ID_short,Slope_max,Fito-OBJECTID,Fito-ALLUE,Fito-ORDEN,Fito-Tipo_Fitoc,Fito-Asociacion,Fito-Shape_Leng,Fito-Shape_Area,Biogeo-objectid,Biogeo-descripcio,Biogeo-st_perimet,Veget-OBJECTID,Veget-SERIES,Veget-REGION,Veget-AZONAL,Veget-PISO,Veget-Ha,Veget-Shape_Leng,Veget-Shape_Area,Climate_region,X_UTM,Y_UTM,Longitude,Latitude,zone,ALT
22,IFN2_24_1283,102.42504782091754,0,0,0,0,0,0,14.14710605261292,42.44131815783876,45.83662361046586,35.3,92.30000000000001,46.988397790055245,49.59078398607539,19.783266666666666,978.6767974279261,6691.034719450249,1931.4871789228953,9,13.5,11.842541436464087,11.911474425627741,47.27184702596316,43,NA,NA,19.783266666666666,NA,NA,102.42504782091754,NA,NA,19.783266666666666,NA,102.42504782091754,NA,25.203118202448,25.197818945144224,34.11782410003915,82.95286490961973,154.39267832266432,IFN2,7,Castilla y León,24,León,1283,NA,NA,24_1283,24_1283,2,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,328000,4722000,-5.09755137356697,42.6304903580819,30,1004.39068603516
142,IFN3_24_1283_A_3E,573.2407372518754,0,381.9718634205488,127.32395447351627,0,0,0,14.14710605261292,14.14710605261292,35.65070725258456,8.149999999999999,94.19999999999999,15.080774925962489,19.77431897107939,17.6047555,52.16810950826699,6969.340558650131,307.10928857564204,6,13,8.024062191510366,10.7016964602096,36.31881876261583,43,NA,NA,17.6047555,NA,NA,573.2407372518754,NA,NA,17.6047555,NA,573.2407372518754,NA,53.20722728708354,29.46598161729096,835.1948268152016,39.028229348536804,72.63971974779903,IFN3,7,Castilla y León,24,León,1283,A,3E,24_1283_A_3E,24_1283,3,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,328000,4722000,-5.09755137356697,42.6304903580819,30,1004.39068603516
184,IFN3_24_2371_N_N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IFN3,7,Castilla y León,24,León,2371,N,N,24_2371_N_N,24_2371,1.2,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,328000,4724000,-5.09815626221741,42.6484890346251,30,1006.51690673828
281,IFN4_24_1309_A_1,1336.9015219719208,0,1273.2395447351628,63.66197723675813,0,0,0,0,0,0,8,14.95,9.46547619047619,9.587296282059922,9.65120625,50.26548245743669,175.53845301473817,72.19085393638069,6,7.90000009536743,6.7976190476190474,7.659154943091896,13.330140970754629,43,NA,NA,9.65120625,NA,NA,1336.9015219719208,NA,NA,9.65120625,NA,1336.9015219719208,NA,71.81486605458433,57.45741894174662,6225.450907526777,35.70832146366332,66.46067492892975,IFN4,7,Castilla y León,24,León,1309,A,1,24_1309_A_1,24_1309,1.75,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,341924,4713794,-4.92556894996472,42.5596161466303,30,1006.64007568359
263,IFN4_24_1270_A_1,226.3536968418067,0,0,63.66197723675813,63.66197723675813,56.58842421045168,42.44131815783876,0,0,0,13.9,30.85,21.990624999999998,22.591760804549963,9.073558333333333,151.74677915002098,747.481103564028,400.8575278394782,7.59999990463257,13.3000001907349,9.582812540233135,10.561032953945968,26.818059868546417,43,NA,NA,9.073558333333333,NA,NA,226.3536968418067,NA,NA,9.073558333333333,NA,226.3536968418067,NA,43.576808481946905,39.38030195216502,266.31242267013573,62.936096969683696,117.13727530581714,IFN4,7,Castilla y León,24,León,1270,A,1,24_1270_A_1,24_1270,4,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,337913,4723815,-4.97725123123017,42.648974622808,30,1010.42803955078
269,IFN4_24_1279_A_1,867.6420142067503,0,509.29581789406507,0,31.830988618379067,70.73553026306459,155.61816657874212,84.88263631567752,0,15.278874536821952,8.45,46.55,18.221017446600356,21.059106527002438,30.22110488888889,56.079392361986294,1701.881243761339,348.31306453640116,3.5,19.1000003814697,9.628909159538585,17.98827691423751,36.308158683084656,21,25,43,17.83049611111111,6.111477777777778,3.975975,254.22349576545415,84.88263631567752,509.29581789406507,29.50707988888889,0.7140249999999999,740.318059733234,127.32395447351627,52.845068546570815,49.54334663800491,1142.6498889250117,18.87296560894967,35.12654700271076,IFN4,7,Castilla y León,24,León,1279,A,1,24_1279_A_1,24_1279,4.5,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,341919,4722794,-4.92812662549664,42.6406182382757,30,1011.29205322266
298,IFN4_24_2380_A_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IFN4,7,Castilla y León,24,León,2380,A,1,24_2380_A_1,24_2380,1,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,336891,4715794,-4.98741358725534,42.5765698520226,30,1014.31604003906
19,IFN2_24_1279,1007.9813062486704,0,509.29581789406507,254.64790894703253,159.15494309189535,84.88263631567752,0,0,0,0,7.9,27.299999999999997,13.785964912280704,14.94271693748109,17.6767125,49.01669937763475,585.3493971984841,175.3674635672175,3,10,6.278947368421052,9.45978094670992,24.952379005653412,21,25,43,9.2367625,3.6768000000000005,3.1694250000000004,311.2363331574842,159.15494309189535,509.29581789406507,17.6767125,NA,1007.9813062486704,NA,45.54594044286077,37.91133881289089,2302.4315756354285,33.29604740463318,61.97092700729097,IFN2,7,Castilla y León,24,León,1279,NA,NA,24_1279,24_1279,4.5,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,342000,4723000,-4.92719644690041,42.6424889165188,30,1015.68005371094
139,IFN3_24_1279_A_1,937.2457759856059,0,509.29581789406507,0,159.15494309189535,169.76527263135503,56.58842421045168,42.44131815783876,0,0,0,36,16.463207547169812,18.498315323599627,25.188814583333333,0,1017.8760197630929,268.75356740706377,0,14.5,7.926415094339623,13.778090832893714,31.67949958091541,21,25,43,13.682457638888888,5.7261847222222215,3.6426999999999996,265.25823848649225,134.39750749982272,509.29581789406507,25.188814583333333,0,937.2457759856059,0,48.146238037934786,43.492135340401674,1519.8476619596672,23.707415460465125,44.124472048522165,IFN3,7,Castilla y León,24,León,1279,A,1,24_1279_A_1,24_1279,4.5,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,342000,4723000,-4.92719644690041,42.6424889165188,30,1015.68005371094
10,IFN2_24_1270,360.75120434162943,0,127.32395447351627,31.830988618379067,159.15494309189535,42.44131815783876,0,0,0,0,10.95,23.450000000000003,16675,17.336172231696903,8.515381249999999,94.17120328676253,431.8924135476654,236.0458162722024,6,9.5,7.549019607843137,8.790923427300928,22.28755877779462,43,NA,NA,8.515381249999999,NA,NA,360.75120434162943,NA,NA,8.515381249999999,NA,360.75120434162943,NA,45.27148190610577,39.443186734562595,649.204612454993,59.8910059913629,111.46972238415056,IFN2,7,Castilla y León,24,León,1270,NA,NA,24_1270,24_1270,4.75,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,338000,4724000,-4.97624328741386,42.6506579325758,30,1016.10803222656
