fid,IFN_PLOT_ID,N,N_0_75,N_75_125,N_125_175,N_175_225,N_225_275,N_275_325,N_325_375,N_375_425,N_425_,dbh_min,dbh_max,dbh_mean,dg,G,g_min,g_max,g_mean,h_min,h_max,h_mean,Ho,Do,sp_1,sp_2,sp_3,G_sp_1,G_sp_2,G_sp_3,N_sp_1,N_sp_2,N_sp_3,G_alive,G_dead,N_alive,N_dead,slenderness,dominant_slenderness,SDI,S,S_staggered,INVENTORY_ID,Region_id,Region_name,Province_id,Province_name,N_plot,Class,Subclass,PLOT_ID,PLOT_ID_short,Slope_max,Fito-OBJECTID,Fito-ALLUE,Fito-ORDEN,Fito-Tipo_Fitoc,Fito-Asociacion,Fito-Shape_Leng,Fito-Shape_Area,Biogeo-objectid,Biogeo-descripcio,Biogeo-st_perimet,Veget-OBJECTID,Veget-SERIES,Veget-REGION,Veget-AZONAL,Veget-PISO,Veget-Ha,Veget-Shape_Leng,Veget-Shape_Area,Climate_region,X_UTM,Y_UTM,Longitude,Latitude,zone,ALT
1,IFN2_34_108,763.9437268410976,0,763.9437268410976,0,0,0,0,0,0,0,8.05,9.75,9.266666666666666,9.28439551074813,5172,50.89576448356315,74.66191290796992,67.70132168486005,4,5,4.416666666666667,5,9.75,25,NA,NA,5172,NA,NA,763.9437268410976,NA,NA,5172,NA,763.9437268410976,NA,47.66187050359713,51.282051282051285,3745.5060431154398,72.36012545582676,134.67736870885983,IFN2,7,Castilla y León,34,Palencia,108,NA,NA,34_108,34_108,5.25,447,VIII(VI),16,Oroborealoide,"Pinares de silvestre, Pinares moros, Robledales pubescentes, Hayedos, Pastos alpinos y alpinoideos",56843.2626665,68231134788,17383,Región Biogeográfica Atlántica,54.8128766254,31,18bb,II,z,G,805720.731678,3078781.66542,8057207316.78,Atlántica,363000,4746000,-4.67673688477173,42.8535425405009,30,1334.25708007812
2,IFN2_34_109,1177.7465788800255,0,636.6197723675814,381.9718634205488,159.15494309189535,0,0,0,0,0,8.35,20.05,13.154054054054052,13.48059165435076,16.8096875,54.759923447478585,315.73202518118273,142.72754259227074,5,9.5,6.324324324324324,8.295774715459478,18.9547887837492,43,NA,NA,16.8096875,NA,NA,1177.7465788800255,NA,NA,16.8096875,NA,1177.7465788800255,NA,48.078898705568115,43.76611530787313,3173.676783794454,35.12506403908636,65.37511054209237,IFN2,7,Castilla y León,34,Palencia,109,NA,NA,34_109,34_109,7.5,447,VIII(VI),16,Oroborealoide,"Pinares de silvestre, Pinares moros, Robledales pubescentes, Hayedos, Pastos alpinos y alpinoideos",56843.2626665,68231134788,17383,Región Biogeográfica Atlántica,54.8128766254,19,15a,I,z,C,12688.5155018,268923.351297,126885155018,Atlántica,364000,4746000,-4.6645029903236,42.8537210948165,30,1437.59899902344
3,IFN2_34_112,109.64007190775013,0,0,95.4929658551372,0,0,14.14710605261292,0,0,0,12.700000000000001,31.650000000000002,15.391935483870968,16.616443954029975,2.37758125,126.67686977437445,786.7510117339004,216.85330998327592,6,8,6.693548387096774,6.760406950327945,15.651440000226371,43,NA,NA,2.37758125,NA,NA,109.64007190775013,NA,NA,2.37758125,NA,109.64007190775013,NA,43.48737294351881,43.19351414457818,211.20266596339164,141.26757970019665,262.9285922051923,IFN2,7,Castilla y León,34,Palencia,112,NA,NA,34_112,34_112,12.75,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,31,18bb,II,z,G,805720.731678,3078781.66542,8057207316.78,Mediterránea,362000,4744000,-4.68848020736899,42.8353603945998,30,1224.7080078125
4,IFN2_34_113,215.3189541207686,0,127.32395447351627,31.830988618379067,31.830988618379067,14.14710605261292,0,0,0,10.185916357881302,9.4,44.1,13.97368593955322,16.106927168930454,4.3873020277777774,69.39778171779854,1527.4502021569915,203.75828248343697,4.5,15,5.94940867279895,7.62085159520641,19.24801272981464,43,NA,NA,4.3873020277777774,NA,NA,215.3189541207686,NA,NA,4.3873020277777774,NA,215.3189541207686,NA,42.57580067660494,39.59292682408674,436.03424622184605,89.42426200516357,166.43730548724895,IFN2,7,Castilla y León,34,Palencia,113,NA,NA,34_113,34_113,7.5,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17383,Región Biogeográfica Atlántica,54.8128766254,31,18bb,II,z,G,805720.731678,3078781.66542,8057207316.78,Atlántica,364000,4744000,-4.66401962757114,42.8357185855161,30,1205.18115234375
5,IFN2_34_114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IFN2,7,Castilla y León,34,Palencia,114,NA,NA,34_114,34_114,10.25,447,VIII(VI),16,Oroborealoide,"Pinares de silvestre, Pinares moros, Robledales pubescentes, Hayedos, Pastos alpinos y alpinoideos",56843.2626665,68231134788,17386,Región Biogeográfica Mediterránea,89.5627819843,19,15a,I,z,C,12688.5155018,268923.351297,126885155018,Mediterránea,370000,4744000,-4.59063524901134,42.836761818402,30,1491.23205566406
6,IFN2_34_195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IFN2,7,Castilla y León,34,Palencia,195,NA,NA,34_195,34_195,5.25,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,31,18bb,II,z,G,805720.731678,3078781.66542,8057207316.78,Mediterránea,345000,4742000,-4.89582602160626,42.8141046166959,30,1367.28405761719
7,IFN2_34_196,650.7668784201943,0,0,445.6338406573069,190.9859317102744,14.14710605261292,0,0,0,0,12.65,26.950000000000003,16.228260869565215,16.511040443343937,13.933627777777778,125.68137760226817,570.4366495709753,214.11089346776743,4,11,6.57336956521739,8.901878010854073,21.534444625687975,43,NA,NA,13.933627777777778,NA,NA,650.7668784201943,NA,NA,13.933627777777778,NA,650.7668784201943,NA,40.50569323509712,41.337857398166726,1266.4591226343255,44.03577469604919,81.95981181293733,IFN2,7,Castilla y León,34,Palencia,196,NA,NA,34_196,34_196,6,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,31,18bb,II,z,G,805720.731678,3078781.66542,8057207316.78,Mediterránea,346000,4742000,-4.88360135695915,42.8143064311537,30,1311.85205078125
8,IFN2_34_197,873.5837987488477,127.32395447351627,509.29581789406507,95.4929658551372,127.32395447351627,14.14710605261292,0,0,0,0,7.5,22.55,10.77348178137652,11.659512024427663,9.327284027777777,44.178646691106465,399.37692958301096,106.77034122125862,4,10,5.591093117408907,9.030516476972986,20.04525833443895,43,42,NA,8.76228125,0.5650027777777779,NA,859.4366926962348,14.14710605261292,NA,9.327284027777777,NA,873.5837987488477,NA,51.896807651115154,45.050636546090395,2971.5037572911688,37.46580988865941,69.73172946516388,IFN2,7,Castilla y León,34,Palencia,197,NA,NA,34_197,34_197,5.5,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,31,18bb,II,z,G,805720.731678,3078781.66542,8057207316.78,Mediterránea,346000,4740000,-4.88305514346102,42.7963059326595,30,1237.21203613281
9,IFN2_34_198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IFN2,7,Castilla y León,34,Palencia,198,NA,NA,34_198,34_198,2.25,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,31,18bb,II,z,G,805720.731678,3078781.66542,8057207316.78,Mediterránea,348000,4740000,-4.85861251827432,42.7967053983978,30,1156.21606445312
10,IFN2_34_199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IFN2,7,Castilla y León,34,Palencia,199,NA,NA,34_199,34_199,NA,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,31,18bb,II,z,G,805720.731678,3078781.66542,8057207316.78,Mediterránea,348000,4738000,-4.85807388000306,42.7787045872542,30,1186.34411621094
