OBJECTID,Parcela,E_m,N_m,EllipsH_m,Pvert_m,Phorz_m,DateTime_,COD_MASA,ESTRATO,gridcode,CoordX,CoordY,ALT
1,401,353598.71100000001,4633958.76099999994,857.58800000000,0.30000000000,0.20000000000,01/04/202302:27:35pm,((PpxPh)r (LAxF)) d,"Pino carrasco, piñonero y mixto",222,353598.71100000001,4633958.76059999969,
2,402,353087.92499999999,4636255.07899999991,859.61100000000,0.30000000000,0.20000000000,01/04/202303:01:28pm,((PpxPh)r LA) d,"Pino carrasco, piñonero y mixto",122,353087.92450000002,4636255.07919999957,
3,403,352792.97100000002,4637255.01200000010,858.34100000000,0.20000000000,0.20000000000,01/04/202303:28:20pm,((PpxPh)r (LAxF)) d,"Pino carrasco, piñonero y mixto",132,352792.97120000003,4637255.01200000010,
4,404,353188.16800000001,4637760.75100000016,855.02600000000,0.50000000000,0.30000000000,01/04/202301:54:10pm,((PpxPh)r LA) d,"Pino carrasco, piñonero y mixto",122,353188.16769999999,4637760.75050000008,
5,405,352490.97999999998,4638053.02300000004,859.25200000000,0.30000000000,0.20000000000,01/04/202304:12:59pm,((PpxPh)r (LAxF)) d,"Pino carrasco, piñonero y mixto",112,352490.98009999999,4638053.02340000030,
6,406,357887.00799999997,4638253.82699999958,858.40000000000,0.20000000000,0.10000000000,01/04/202312:42:25pm,Ppr LA s,"Pino carrasco, piñonero y mixto",112,357887.00770000002,4638253.82689999975,
7,408,356691.39600000001,4638651.91899999976,858.73600000000,0.30000000000,0.20000000000,01/04/202311:15:08am,Phr LA d,"Pino carrasco, piñonero y mixto",122,356691.39640000003,4638651.91870000027,
8,407,354084.98100000003,4638657.08700000029,861.87800000000,0.30000000000,0.20000000000,01/04/202301:20:37pm,Phr F d,"Pino carrasco, piñonero y mixto",232,354084.98129999998,4638657.08729999978,
9,409,357892.59000000003,4639045.24799999967,859.37800000000,0.20000000000,0.10000000000,01/04/202312:08:36pm,Ppr LA s,"Pino carrasco, piñonero y mixto",112,357892.58970000001,4639045.24820000026,
10,410,357591.84700000001,4639657.48099999968,861.30200000000,0.20000000000,0.20000000000,01/04/202311:44:09am,Ppr LA s,"Pino carrasco, piñonero y mixto",212,357591.84720000002,4639657.48080000002,
