trno,dbh,cl,dead,ht,bal,ba,tph,spp,ccfl,standid,plotid,nsnag
 1, 44.4000110,17.7968849,0,31.889151,29.3888000,56.488144,  872.8004,DF, 97.760530,  2, 1, 5
 2, 67.0006052,18.0639354,0,30.293798, 3.6736000,56.488144,  872.8004,DF, 10.421400,  2, 2, 4
 5, 38.3920960,12.7521797,0,26.224843,17.4496000,56.488144,  872.8004,DF, 58.643320,  2, 3, 9
 6, 48.2765860,15.7480650,0,30.179040,21.1232000,56.488144,  872.8004,DF, 71.604110,  2, 4, 5
 9, 57.1882034,14.5074467,0,26.721377,13.7760000,56.488144,  872.8004,DF, 45.135900,  2, 5,11
 3, 48.0148376,16.1899793,0,26.949995, 4.5920000,56.488144,  872.8004,DF, 13.430670,  2, 2,11
 4, 49.3424847,23.8734417,0,37.588515,11.0208000,56.488144,  872.8004,DF, 35.342210,  2, 2,11
 5, 67.8169523,13.6364746,0,25.963757,11.0208000,56.488144,  872.8004,DF, 35.342210,  2, 2,11
10, 59.5415505,18.0994172,0,26.207088,11.0208000,56.488144,  872.8004,DF, 35.342210,  2, 2,11
 1, 60.5575440,16.1712280,0,31.451824,10.1024000,56.488144,  872.8004,DF, 32.133430,  2, 3,11
 3, 59.2875268,12.1705086,0,20.737419,24.7968000,56.488144,  872.8004,DF, 83.414720,  2, 3,11
 5, 46.9886040,10.6883302,0,20.817669, 2.7552000,56.488144,  872.8004,DF,  7.461385,  2, 3,11
 6, 64.0869167,18.1006638,0,32.081785,30.3072000,56.488144,  872.8004,DF,101.463700,  2, 3,11
 7, 81.4277934,16.7542891,0,32.734118,33.9808000,56.488144,  872.8004,DF,116.524400,  2, 3,11
 8, 78.8370152,22.8302911,0,38.529768,33.9808000,56.488144,  872.8004,DF,116.524400,  2, 3,11
 9, 70.7988158,19.8138959,0,33.223200,33.9808000,56.488144,  872.8004,DF,116.524400,  2, 3,11
10, 45.7968750,11.7657402,0,25.146000,33.9808000,56.488144,  872.8004,DF,116.524400,  2, 3,11
11, 41.0306959,11.6575119,0,23.765981,33.9808000,56.488144,  872.8004,DF,116.524400,  2, 3,11
 1, 37.7456148,14.4807554,0,27.716933,42.2464000,56.488144,  872.8004,DF,146.648000,  2, 4,11
 2, 55.9855481,17.9581180,0,32.886670,14.6944000,56.488144,  872.8004,DF, 48.455090,  2, 4,11
 3, 48.4444445,15.0103393,0,28.023483,23.8784000,56.488144,  872.8004,DF, 79.799260,  2, 4,11
 6, 65.1030626,14.1249959,0,29.311379,16.5312023,56.488144,  872.8004,DF, 55.171090,  2, 4,11
10, 51.9216760,14.3742247,0,32.165361,16.5312023,56.488144,  872.8004,DF, 55.171090,  2, 4,11
 1, 61.5735628,21.4245353,0,37.533864, 8.2656000,56.488144,  872.8004,DF, 25.751070,  2, 5,11
 4, 66.1457112,20.8921685,0,33.345120,15.6128000,56.488144,  872.8004,DF, 51.797390,  2, 5,11
 5, 42.0643238,13.7255738,0,26.334833, 9.1840000,56.488144,  872.8004,DF, 28.931730,  2, 5,11
 7, 54.9695800,19.0550658,0,31.053237,35.8176000,56.488144,  872.8004,DF,124.297300,  2, 5,11
10, 60.0766597,19.5953786,0,32.073098,20.2048000,56.488144,  872.8004,DF, 68.016680,  2, 5,11
11, 40.8630407,11.0449157,0,23.464930,31.2256000,56.488144,  872.8004,DF,105.187100,  2, 5,11
13, 45.4059167, 8.8679091,0,22.856748,33.0624000,56.488144,  872.8004,DF,112.727500,  2, 5,11
14, 56.8546463,15.7313803,0,32.896973,33.0624000,56.488144,  872.8004,DF,112.727500,  2, 5,11
15, 49.6464646,13.5621735,0,26.582632,33.0624000,56.488144,  872.8004,DF,112.727500,  2, 5,11
16, 44.9273448,16.3192389,0,29.013501,33.0624000,56.488144,  872.8004,DF,112.727500,  2, 5,11
18, 43.4328810,10.9967116,0,28.245103,33.0624000,56.488144,  872.8004,DF,112.727500,  2, 5,11
 1, 45.1716619,14.2478303,0,26.112688,27.5520000,50.906154,  909.4997,DF, 90.239320,  3, 1, 5
 3, 57.6440334,24.3935220,0,47.283319,40.4096000,50.906154,  909.4997,DF,138.111900,  3, 2, 8
 5, 31.5349789,10.8469908,0,22.370906,12.8576023,50.906154,  909.4997,DF, 37.558730,  3, 3,11
 7, 57.0015415,15.9520890,0,30.626578,12.8576023,50.906154,  909.4997,DF, 37.558730,  3, 4,13
 9, 10.3836440, 4.3232314,0, 8.199120,12.8576023,50.906154,  909.4997,DF, 37.558730,  3, 5, 9
 1, 45.7186884,21.2812488,0,32.095074,26.6336000,50.906154,  909.4997,DF, 86.536190,  3, 2, 9
 3, 60.2364378,18.6068787,0,32.674560, 9.1840023,50.906154,  909.4997,DF, 24.528530,  3, 2, 9
 4, 53.5528201,16.7784262,0,32.701809,14.6944046,50.906154,  909.4997,DF, 44.197150,  3, 2, 9
 5, 18.8760218, 6.4978514,0,18.074265,14.6944046,50.906154,  909.4997,DF, 44.197150,  3, 2, 9
 6, 50.5552786,18.8368716,0,32.394479,14.6944046,50.906154,  909.4997,DF, 44.197150,  3, 2, 9
 7, 25.1899875, 5.9958671,0,14.194481,14.6944046,50.906154,  909.4997,DF, 44.197150,  3, 2, 9
11, 50.9845806,11.8166815,0,26.769630,14.6944046,50.906154,  909.4997,DF, 44.197150,  3, 2, 9
12, 14.8115271, 3.6321888,0,11.795760,14.6944046,50.906154,  909.4997,DF, 44.197150,  3, 2, 9
 4, 38.5605643,14.9917191,0,26.682290,42.2464000,50.906154,  909.4997,DF,147.153800,  3, 3, 9
 5, 29.7951307, 5.9417316,0,15.557504,30.3072000,50.906154,  909.4997,DF,101.419900,  3, 3, 9
 6, 44.1557955,14.8369142,0,25.280865,41.3280000,50.906154,  909.4997,DF,142.567500,  3, 3, 9
 7, 29.0280283, 9.2376864,0,22.239122,48.6752000,50.906154,  909.4997,DF,180.049400,  3, 3, 9
 8, 21.9245357, 8.4921486,0,20.581038,45.9200000,50.906154,  909.4997,DF,164.705700,  3, 3, 9
11, 25.9147442, 8.7381466,0,23.795638,44.0832000,50.906154,  909.4997,DF,154.897100,  3, 3, 9
12,155.7174858,26.3544954,0,37.588485,44.0832000,50.906154,  909.4997,DF,154.897100,  3, 3, 9
13, 26.3853374,11.8401998,0,23.188465,44.0832000,50.906154,  909.4997,DF,154.897100,  3, 3, 9
14, 26.2022330,12.4359132,0,25.896268,44.0832000,50.906154,  909.4997,DF,154.897100,  3, 3, 9
18, 13.9755000, 7.5803760,1,12.100560,44.0832000,50.906154,  909.4997,DF,154.897100,  3, 3, 9
20, 15.9725354, 4.8003440,0,13.807440,44.0832000,50.906154,  909.4997,DF,154.897100,  3, 3, 9
 1, 47.6141982,19.8970544,0,37.296395,25.7152000,50.906154,  909.4997,DF, 82.872760,  3, 4, 9
 2, 52.2263165,16.9782348,0,36.568898,18.3680023,50.906154,  909.4997,DF, 55.567670,  3, 4, 9
 3, 90.3603739,30.2214808,0,43.303576, 2.7552023,50.906154,  909.4997,DF,  4.667775,  3, 4, 9
 4, 49.4211541,17.4794296,0,32.665325,22.9600000,50.906154,  909.4997,DF, 72.100170,  3, 4, 9
 5, 59.9025758,22.5441906,0,38.707192, 8.2656023,50.906154,  909.4997,DF, 21.305490,  3, 4, 9
 6, 24.3565446, 9.0397675,0,18.223358,24.7968000,50.906154,  909.4997,DF, 79.238310,  3, 4, 9
 7, 47.0568044,17.6283701,0,31.680668,28.4704000,50.906154,  909.4997,DF, 93.952550,  3, 4, 9
 8, 45.8359556,14.2858084,0,29.315012,10.1024023,50.906154,  909.4997,DF, 27.758750,  3, 4, 9
 9, 59.2203681,16.3356188,0,32.896332,22.9600000,50.906154,  909.4997,DF, 72.100170,  3, 4, 9
10, 49.8611791,17.0693944,0,32.034998, 7.3472023,50.906154,  909.4997,DF, 18.152450,  3, 4, 9
11, 62.2955371,21.7897314,0,35.481006, 7.3472023,50.906154,  909.4997,DF, 18.152450,  3, 4, 9
12, 11.4745131, 3.9394425,0,10.984925, 7.3472023,50.906154,  909.4997,DF, 18.152450,  3, 4, 9
13, 14.3034872, 3.3338201,0,11.729743, 7.3472023,50.906154,  909.4997,DF, 18.152450,  3, 4, 9
 1, 63.4585528,16.6574937,0,30.401258, 6.4288023,50.906154,  909.4997,DF, 15.026540,  3, 5, 9
 3, 53.6715610,12.1215699,0,26.165013,11.9392023,50.906154,  909.4997,DF, 34.284690,  3, 5, 9
 4, 81.7635357,21.1532937,0,35.754473,21.1232023,50.906154,  909.4997,DF, 64.980190,  3, 5, 9
 6, 59.3000793,12.1840234,0,26.445731,28.4704000,50.906154,  909.4997,DF, 93.952550,  3, 5, 9
 7, 50.1152028,13.8038891,0,28.268987,13.7760023,50.906154,  909.4997,DF, 40.870300,  3, 5, 9
 8, 45.3963371,20.7901459,0,36.645647,32.1440000,50.906154,  909.4997,DF,107.659400,  3, 5, 9
 9, 57.2279700,16.0315717,0,30.659984,33.9808000,50.906154,  909.4997,DF,115.562200,  3, 5, 9
10, 40.2776197,11.4664297,0,26.151840,33.9808000,50.906154,  909.4997,DF,115.562200,  3, 5, 9
11, 36.9450982, 7.5962591,0,20.978290,33.9808000,50.906154,  909.4997,DF,115.562200,  3, 5, 9
 2, 57.8033541,16.4407230,0,40.653127,17.4496046,74.321841,  846.3168,DF, 41.609750, 10, 1,13
 3, 23.3033230, 3.9541430,0,23.524851,49.5936000,74.321841,  846.3168,DF,164.242200, 10, 2,13
 4,145.4473228,28.6440555,0,43.442169,41.3280000,74.321841,  846.3168,DF,131.423200, 10, 3,16
 5, 39.0767685,12.0326140,0,33.178425,38.5728000,74.321841,  846.3168,DF,121.463300, 10, 4,14
 6, 44.4097685,16.9309268,0,35.924155,61.5328000,74.321841,  846.3168,DF,215.523200, 10, 5, 7
 8, 45.9434399,16.5833176,0,32.879264,26.6336000,74.321841,  846.3168,DF, 75.910480, 10, 1, 7
 9, 32.8489808,16.5163561,0,32.254576,56.9408000,74.321841,  846.3168,DF,195.421300, 10, 1, 7
12, 51.1707088,14.3312662,0,32.491406,29.3888000,74.321841,  846.3168,DF, 85.246630, 10, 1, 7
13, 36.2213960,12.2242204,0,29.266232,29.3888000,74.321841,  846.3168,DF, 85.246630, 10, 1, 7
14, 49.2064904,17.9788627,0,39.131016,29.3888000,74.321841,  846.3168,DF, 85.246630, 10, 1, 7
15, 17.2067677, 5.8497125,0,22.620141,29.3888000,74.321841,  846.3168,DF, 85.246630, 10, 1, 7
16, 16.2265897, 7.6980623,0,22.319541,29.3888000,74.321841,  846.3168,DF, 85.246630, 10, 1, 7
17, 15.9367327, 8.8456892,0,21.704119,29.3888000,74.321841,  846.3168,DF, 85.246630, 10, 1, 7
 1, 44.6343167,12.1535952,0,31.636381,44.0832000,74.321841,  846.3168,DF,142.665600, 10, 2, 7
 3, 60.6245756,17.3890686,0,40.453208,36.7360000,74.321841,  846.3168,DF,114.077200, 10, 2, 7
 4, 46.1192262,15.8422970,0,36.375899,33.9808000,74.321841,  846.3168,DF,103.202400, 10, 2, 7
 5, 48.5910856,22.5058468,0,40.397217,64.2880000,74.321841,  846.3168,DF,227.660700, 10, 2, 7
 6, 28.6381626,10.3624990,0,28.447542,54.1856000,74.321841,  846.3168,DF,184.437200, 10, 2, 7
 7, 36.8682329,17.4898416,0,35.366066,53.2672000,74.321841,  846.3168,DF,180.324600, 10, 2, 7
 9, 53.4175372,15.3887150,0,33.506664,22.9600000,74.321841,  846.3168,DF, 61.960670, 10, 2, 7
10, 50.7590160,14.7784810,0,36.099049,24.7968000,74.321841,  846.3168,DF, 68.888380, 10, 2, 7
11, 33.7191716, 8.5891878,0,27.276915,59.6960000,74.321841,  846.3168,DF,206.750600, 10, 2, 7
12, 52.9376440,12.5981308,0,38.009292,21.1232046,74.321841,  846.3168,DF, 55.083420, 10, 2, 7
15, 37.7764118,10.4153787,0,30.180619,35.8176000,74.321841,  846.3168,DF,110.442700, 10, 2, 7
16, 22.5780784,14.2231049,0,29.140331,35.8176000,74.321841,  846.3168,DF,110.442700, 10, 2, 7
17, 47.6431910,16.8992824,0,37.572452,35.8176000,74.321841,  846.3168,DF,110.442700, 10, 2, 7
 1, 39.8165298,10.7168716,0,28.412828,51.4304000,74.321841,  846.3168,DF,172.206300, 10, 3, 7
 4, 22.1785849,10.4728701,0,25.368144,15.6128046,74.321841,  846.3168,DF, 35.046810, 10, 3, 7
 5, 42.7188346,17.6390198,0,33.172024,32.1440000,74.321841,  846.3168,DF, 96.008940, 10, 3, 7
 6, 58.0175350,16.4014069,0,35.021520,56.0224000,74.321841,  846.3168,DF,191.238200, 10, 3, 7
 7, 48.9524666,15.1628460,0,31.821364,49.5936000,74.321841,  846.3168,DF,164.242200, 10, 3, 7
 8, 35.9985249,14.0914801,0,33.338536,71.6352000,74.321841,  846.3168,DF,265.909200, 10, 3, 7
10, 22.3240139, 8.0682633,0,21.860158,26.6336000,74.321841,  846.3168,DF, 75.910480, 10, 3, 7
12, 50.8772741,15.2285913,0,34.206210,18.3680046,74.321841,  846.3168,DF, 44.906190, 10, 3, 7
13, 34.3733775,10.7660359,0,25.839045,46.8384000,74.321841,  846.3168,DF,152.594300, 10, 3, 7
14, 55.5965972,19.4822247,0,36.635345,43.1648000,74.321841,  846.3168,DF,138.911200, 10, 3, 7
