"species","model","term","estimate","std.error","statistic","p.value"
"DF","elmamoun_2013_M20","a",48.5520370301988,1.01543758104196,47.8139059816739,0
"DF","elmamoun_2013_M20","b",0.0109378966036463,0.000814450410594175,13.4297883104592,9.81808815918368e-40
"DF","elmamoun_2013_M20","c",1.32118819740799,0.0327887677578554,40.2939264800967,4.97953582118649e-273
"DF","elmamoun_2013_M7","a",1.98253056813264,0.0265564608004056,74.6534179773821,0
"DF","elmamoun_2013_M7","b",0.137596265836375,0.000668152531592843,205.935410449396,0
"DF","elmamoun_2013_M13","a",1.98253056813264,0.0265564608004056,74.6534179773821,0
"DF","elmamoun_2013_M13","b",0.137596265836375,0.000668152531592843,205.935410449396,0
"DF","elmamoun_2013_M4","a",3.60949736731312,0.41590517901411,8.67865453339465,7.15437166248013e-18
"DF","elmamoun_2013_M4","b",0.566918746192118,0.0276185473837405,20.5267401762727,1.48970251249097e-86
"DF","elmamoun_2013_M4","c",0.0186579756029693,0.000396775131082214,47.0240550411494,0
"DF","elmamoun_2013_M14","a",0.207036139556323,0.000750337617659041,275.923976998847,0
"DF","elmamoun_2013_M14","b",2.16919806940515,0.0290432990577862,74.6884183194611,0
"DF","zeide_1992","beta0",45.8805083542584,1.12560791127286,40.7606484414058,6.2195790164758e-278
"DF","zeide_1992","beta1",4.93057935630602,0.529432693829647,9.3129483950844,2.67133188963895e-20
"DF","zeide_1992","beta2",0.376191616896751,0.0640564657292324,5.87281256644595,4.86363718979983e-09
"DF","zeide_1992","beta3",0.506776075959317,0.0398912182335022,12.7039508543689,7.3479929951097e-36
"DF","ratkowsky_1986","beta0",52.8286836863722,1.23664980875514,42.7191944820271,9.52910996245128e-299
"DF","ratkowsky_1986","beta1",0.0162662377585778,0.000998369986019174,16.29279524261,9.37133588215337e-57
"DF","ratkowsky_1986","beta2",1.1854339668778,0.0296257883040633,40.0135839327259,4.48466830744604e-270
"DF","peschel_1938","a",52.8281642758378,1.23660820915021,42.7202115309753,9.29427405148498e-299
"DF","peschel_1938","b",0.0162657651999994,0.000998361638946608,16.2924581288618,9.41808241460685e-57
"DF","peschel_1938","c",1.18544853962218,0.0296260485765675,40.0137242926079,4.46943003060643e-270
"DF","huang_2000_I","a",52.8289514375844,1.23667128961543,42.7186689633693,9.65276720638387e-299
"DF","huang_2000_I","b",61.476100067789,3.77316734789478,16.2929693807748,9.34727933045632e-57
"DF","huang_2000_I","c",1.18542641513189,0.0296256542300835,40.0135101127369,4.49270346228907e-270
"DF","lundqvist_1989","a",67.7203442627848,2.97976230413389,22.7267605100027,6.03333673116918e-104
"DF","lundqvist_1989","b",8.07098769621076,0.381440405683619,21.1592363471455,1.97863602720555e-91
"DF","lundqvist_1989","c",0.603599002758349,0.0262825456040315,22.9657740103288,6.61574231512171e-106
"DF","elmamoun_2013_M9","a",41.7075853309834,0.54513265289323,76.5090572168539,0
"DF","elmamoun_2013_M9","b",-0.0321665226819685,0.00136374728706574,-23.5868646537722,4.63819869421369e-111
"DF","elmamoun_2013_M9","c",1.16761236289872,0.0339108382618723,34.4318342673212,2.21950535759178e-212
"DF","chapman_richards_1959","a",41.7075853309834,0.54513265289323,76.5090572168539,0
"DF","chapman_richards_1959","b",-0.0321665226819685,0.00136374728706574,-23.5868646537722,4.63819869421369e-111
"DF","chapman_richards_1959","c",1.16761236289872,0.0339108382618723,34.4318342673212,2.21950535759178e-212
"DF","curtis_1967_I","a",44.2636800725348,0.441366953206581,100.287707883325,0
"DF","curtis_1967_I","b",0.0278812822245614,0.000530639081826013,52.5428359490928,0
"DF","meyer_1940","beta0",44.2636804434165,0.441366962489785,100.287706614291,0
"DF","meyer_1940","beta1",0.027881281752033,0.000530639075933042,52.5428356421138,0
"DF","monomolecular_model","a",44.4808887651459,0.498252032416987,89.2738732030296,0
"DF","monomolecular_model","b",0.994865480846161,0.00502159026116831,198.117613963728,0
"DF","monomolecular_model","c",0.0274447362124011,0.000678503521594794,40.4489222810419,1.15312243853309e-274
"DF","huang_1992_III","a",43.9799570714727,0.608921323505889,72.2260091307959,0
"DF","huang_1992_III","b",0.0286252214076278,0.00129172406026211,22.1604770618109,2.34810425721493e-99
