"species","model","bic","r_squared","rmse","mae","bias","aic","loglik","results_key"
"DF","elmamoun_2013_M20",13767.8049296169,0.893171575754428,3.9384182310109,2.84081205573379,-0.0155684328868075,13744.5700123899,-6868.28500619494,"DF_elmamoun_2013_M20"
"DF","elmamoun_2013_M7",13762.9179492607,0.893044723148616,3.94075585976349,2.87331093358037,-0.0770290823813251,13745.4917613404,-6869.74588067022,"DF_elmamoun_2013_M7"
"DF","elmamoun_2013_M13",13762.9179492607,0.893044723148616,3.94075585976349,2.87331093358037,-0.0770290823813251,13745.4917613404,-6869.74588067022,"DF_elmamoun_2013_M13"
"DF","elmamoun_2013_M4",13770.1853348004,0.893068237855144,3.94032263751352,2.86978774410284,-0.0641213004868588,13746.9504175734,-6869.4752087867,"DF_elmamoun_2013_M4"
"DF","elmamoun_2013_M14",13775.5766638615,0.892493381567719,3.95089986489416,2.90255661247469,-0.128183702526515,13758.1504759413,-6876.07523797065,"DF_elmamoun_2013_M14"
"DF","zeide_1992",13787.2944674698,0.892663530582283,3.94777211366488,2.86870102784217,-0.0218798074148891,13758.2508209361,-6874.12541046803,"DF_zeide_1992"
"DF","ratkowsky_1986",13789.8662383397,0.892210013745785,3.95610336370578,2.92311937309987,-0.087413520673693,13766.6313211127,-6879.31566055636,"DF_ratkowsky_1986"
"DF","peschel_1938",13789.8662383526,0.892210013745218,3.95610336371618,2.92312225418243,-0.0874244537213021,13766.6313211257,-6879.31566056283,"DF_peschel_1938"
"DF","huang_2000_I",13789.8662385064,0.892210013738487,3.9561033638397,2.92311787468893,-0.0874075733825169,13766.6313212794,-6879.3156606397,"DF_huang_2000_I"
"DF","lundqvist_1989",13791.9849729783,0.892117212497174,3.95780599100247,2.92369704910745,-0.104812804376809,13768.7500557513,-6880.37502787565,"DF_lundqvist_1989"
"DF","elmamoun_2013_M9",13792.5733854855,0.892091425670274,3.95827897266327,2.85326727030034,0.0187241882945122,13769.3384682586,-6880.66923412928,"DF_elmamoun_2013_M9"
"DF","chapman_richards_1959",13792.5733854855,0.892091425670274,3.95827897266327,2.85326727030034,0.0187241882945122,13769.3384682586,-6880.66923412928,"DF_chapman_richards_1959"
"DF","curtis_1967_I",13790.7331484903,0.891829511455443,3.96307980157798,2.90496597759481,-0.0286780037982448,13773.3069605701,-6883.65348028503,"DF_curtis_1967_I"
"DF","meyer_1940",13790.7331484903,0.891829511455443,3.96307980157798,2.90496597740716,-0.0286780249117686,13773.3069605701,-6883.65348028503,"DF_meyer_1940"
"DF","monomolecular_model",13797.5132899485,0.8918746940758,3.96225202944282,2.89511391709394,-3.81404693626561e-10,13774.2783727216,-6883.13918636078,"DF_monomolecular_model"
"DF","huang_1992_III",13798.189392381,0.891844997154205,3.96279611395933,2.90583124934947,-0.0426082806372686,13774.954475154,-6883.477237577,"DF_huang_1992_III"
"DF","chapman_richards_model",13798.1893924275,0.891844997152159,3.96279611399681,2.90583060369544,-0.0426039486006957,13774.9544752006,-6883.47723760028,"DF_chapman_richards_model"
"DF","lebedev_M25_b",13798.1893924955,0.891844997149174,3.9627961140515,2.90583180165289,-0.0426121186528695,13774.9544752685,-6883.47723763426,"DF_lebedev_M25_b"
"DF","huang_1992_II",13798.4271400915,0.891834552456441,3.96298745604887,2.90521114339283,-0.0359914305481277,13775.1922228646,-6883.59611143228,"DF_huang_1992_II"
"DF","weibull_model",13798.4271400915,0.891834552456441,3.96298745604887,2.90521114339283,-0.0359914305481277,13775.1922228646,-6883.59611143228,"DF_weibull_model"
"DF","elmamoun_2013_M19",13798.9597800865,0.891811148932462,3.96341616437343,2.86261684298145,0.0420884348808611,13775.7248628595,-6883.86243142976,"DF_elmamoun_2013_M19"
"DF","yang_1978",13798.9597800865,0.891811148932462,3.96341616437343,2.86261684298145,0.0420884348808611,13775.7248628595,-6883.86243142976,"DF_yang_1978"
