"species","model","bic","r_squared","rmse","mae","bias","aic","loglik","results_key"
"DF","elmamoun_2013_M20",13767.8049296169,0.893171575754428,3.9384182310109,2.84081205573379,-0.0155684328868075,13744.5700123899,-6868.28500619494,"DF_elmamoun_2013_M20"
"DF","elmamoun_2013_M7",13762.9179492607,0.893044723148616,3.94075585976349,2.87331093358037,-0.0770290823813251,13745.4917613404,-6869.74588067022,"DF_elmamoun_2013_M7"
"DF","elmamoun_2013_M13",13762.9179492607,0.893044723148616,3.94075585976349,2.87331093358037,-0.0770290823813251,13745.4917613404,-6869.74588067022,"DF_elmamoun_2013_M13"
"DF","elmamoun_2013_M4",13770.1853348004,0.893068237855144,3.94032263751352,2.86978774410284,-0.0641213004868588,13746.9504175734,-6869.4752087867,"DF_elmamoun_2013_M4"
"DF","elmamoun_2013_M14",13775.5766638615,0.892493381567719,3.95089986489416,2.90255661247469,-0.128183702526515,13758.1504759413,-6876.07523797065,"DF_elmamoun_2013_M14"
"PM","elmamoun_2013_M5",1306.77934904071,0.676317648277423,3.63946232290895,2.70351846415659,-0.0431183275410998,1292.90710847617,-642.453554238086,"PM_elmamoun_2013_M5"
"PM","huang_2000_II",1305.74317009025,0.67020786580697,3.6736507322748,2.78179107321103,-0.0472391633461183,1295.33898966685,-644.669494833423,"PM_huang_2000_II"
"PM","huang_1992_VII",1310.68519699008,0.670939044043828,3.66957606877341,2.77936079380131,0.0184925869124176,1296.81295642554,-644.406478212772,"PM_huang_1992_VII"
"PM","logistic_model",1310.68519699008,0.670939044043828,3.66957606877341,2.77936079380131,0.0184925869124176,1296.81295642554,-644.406478212772,"PM_logistic_model"
"PM","pearl_1920",1310.68519699572,0.670939044036001,3.66957606881706,2.77936757889981,0.0185018612449731,1296.81295643118,-644.406478215591,"PM_pearl_1920"
"DF","chapman_richards_1959",13792.5733854855,0.892091425670274,3.95827897266327,2.85326727030034,0.0187241882945122,13769.3384682586,-6880.66923412928,"DF_chapman_richards_1959"
"DF","chapman_richards_model",13798.1893924275,0.891844997152159,3.96279611399681,2.90583060369544,-0.0426039486006957,13774.9544752006,-6883.47723760028,"DF_chapman_richards_model"
"PM","chapman_richards_1959",1312.71859738966,0.668103637649933,3.68535190267685,2.76474427778302,-0.0370152728664854,1298.84635682512,-645.423178412558,"PM_chapman_richards_1959"
"PM","chapman_richards_model",1315.13414584769,0.664703590137733,3.70418073763979,2.82060674839224,-0.0653732449040373,1301.26190528315,-646.630952641575,"PM_chapman_richards_model"
